Time Scale; Number of Packets; Total data (b); 
719.000000; 2668; 2005203; 
720.000000; 2523; 1888325; 
721.000000; 2307; 1729775; 
722.000000; 2156; 1620854; 
723.000000; 2839; 2127313; 
724.000000; 2165; 1628281; 
725.000000; 1965; 1466308; 
726.000000; 2145; 1610784; 
727.000000; 2392; 1777866; 
728.000000; 2940; 2208507; 
729.000000; 2454; 1849887; 
730.000000; 1917; 1432005; 
731.000000; 2625; 1965921; 
732.000000; 2444; 1830662; 
733.000000; 1818; 1362076; 
734.000000; 2053; 1534304; 
735.000000; 2904; 2175289; 
736.000000; 2341; 1751233; 
737.000000; 2796; 2092162; 
738.000000; 2483; 1865435; 
739.000000; 2241; 1690455; 
740.000000; 2156; 1612444; 
741.000000; 2101; 1575319; 
742.000000; 2929; 2198774; 
743.000000; 2546; 1897191; 
744.000000; 2141; 1604552; 
745.000000; 1948; 1461656; 
746.000000; 2497; 1879246; 
747.000000; 2987; 2228811; 
748.000000; 2482; 1870590; 
749.000000; 2198; 1647524; 
750.000000; 2647; 1981896; 
751.000000; 2544; 1915193; 
752.000000; 1896; 1428118; 
753.000000; 2013; 1517811; 
754.000000; 2839; 2131580; 
755.000000; 1849; 1386105; 
756.000000; 2953; 2192567; 
757.000000; 2375; 1773414; 
758.000000; 2266; 1690293; 
759.000000; 2269; 1693235; 
760.000000; 2707; 2034759; 
761.000000; 2570; 1925180; 
762.000000; 2426; 1821886; 
763.000000; 2911; 2183153; 
764.000000; 1936; 1458313; 
765.000000; 2313; 1731839; 
766.000000; 1959; 1470351; 
767.000000; 2628; 1967192; 
768.000000; 2703; 2009269; 
769.000000; 2724; 2037028; 
770.000000; 2053; 1537711; 
771.000000; 2938; 2203851; 
772.000000; 2505; 1876420; 
773.000000; 1929; 1445319; 
774.000000; 2554; 1913699; 
775.000000; 2515; 1891512; 
776.000000; 2126; 1593026; 
777.000000; 2614; 1975301; 
778.000000; 2495; 1862722; 
779.000000; 2199; 1650834; 
780.000000; 2953; 2196706; 
781.000000; 2013; 1504305; 
782.000000; 2387; 1790068; 
783.000000; 2433; 1818771; 
784.000000; 2587; 1945929; 
785.000000; 2223; 1662025; 
786.000000; 2522; 1894645; 
787.000000; 2177; 1616766; 
788.000000; 2783; 2088107; 
789.000000; 2132; 1595843; 
790.000000; 2678; 1999347; 
791.000000; 2656; 1989641; 
792.000000; 2479; 1852550; 
793.000000; 2636; 1975291; 
794.000000; 2869; 2154144; 
795.000000; 2115; 1577590; 
796.000000; 2328; 1731009; 
797.000000; 2505; 1886830; 
798.000000; 1867; 1395703; 
799.000000; 2244; 1684119; 
800.000000; 1859; 1379794; 
801.000000; 2655; 1991662; 
802.000000; 2282; 1715385; 
803.000000; 1854; 1390779; 
804.000000; 2934; 2198282; 
805.000000; 2806; 2112883; 
806.000000; 2231; 1679781; 
807.000000; 1869; 1407051; 
808.000000; 2725; 2052948; 
809.000000; 2564; 1924512; 
810.000000; 2747; 2066749; 
811.000000; 2569; 1922405; 
812.000000; 2623; 1960287; 
813.000000; 2208; 1659144; 
814.000000; 2560; 1922741; 
815.000000; 2269; 1692212; 
816.000000; 2108; 1570787; 
817.000000; 2093; 1576298; 
818.000000; 2585; 1940527; 
819.000000; 2013; 1511894; 
820.000000; 2073; 1560308; 
821.000000; 1988; 1498517; 
